secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
supply:supplies,supplying,demand,shortages,shortage,supplier,supplied,suppliers,prices,shipments
proposed:proposal,proposing,proposals,approved,propose,plan,plans,approve,planned,opposed
postseason:playoffs,playoff,season,championship,tournament,league,preseason
she:her,herself,he,woman,mother,girl,lady
devices:device,applications,technologies,portable,systems,phones,sensors,apps
sleeping:sleep,bed,living,sitting,bathroom,staying,eating,lying,walking,hiding
bloody:brutal,violent,ugly,nasty,wars,war,deadly,bitter,dirty,violence
consolidate:strengthen,consolidation,expand,consolidated,integrate,establish,bolster,maintain,retain,build
attacking:attacked,attack,defending,opposing,midfield,defense,destroying,offensive,defenders,assault
imagination:creativity,passion,spirit,enthusiasm,creative,minds,magic,inspiration,artistic,emotion
failures:failure,mistakes,successes,problems,weaknesses,errors,fail,abuses,collapse,troubles
odd:strange,weird,bizarre,unusual,interesting,surprising,silly,curious,awful,ridiculous
cars:vehicles,car,trucks,bikes,vehicle,buses,automobile
shouted:yelling,screaming,crying,sang,laughed,cheering,walked,greeted,punched,smiling
fighting:fight,battling,battle,fought,fights,battles,struggle,combat,battled,fighters
dust:clouds,debris,dirt,sand,smoke,noise,mud,cloud,pollution,smell
laid:laying,lay,knocked,kicked,cut,rolled,thrown,wiped,cutting,put
environmental:pollution,conservation,sustainability,wildlife,emissions
educate:inform,teach,awareness,learn,understand,remind,promote,encourage,inspire,protect
editing:photography,editors,writing,script,graphics,editor,publishing,audio
stand:stands,stood,standing,sit,lie,come,hold,alone,put,testify
ballots:ballot,votes,voting,vote,voters,voter,election,polling,signatures
insist:argue,insisted,insisting,say,contend,believe,insists,agree,suggest,warn
felony:misdemeanor,burglary,convicted,criminal,counts,charges,indicted,probation
defendant:defendants,jurors,prosecution,jury,plaintiffs,victim,trial,court,judge,prosecutors
conjunction:jointly,accordance,sponsored,partnership,addition,associated,collaboration,joint,hosted,combines
revenues:revenue,profits,sales,profit,fiscal,profitability,expenditures,growth
vehicle:car,vehicles,truck,van,motorcycle,cars,pickup,automobile,driver
webcast:replay,accessed,presentation,conference,presentations,broadcast,web,website
fairly:pretty,relatively,reasonably,very,quite,extremely,incredibly,surprisingly,equally,somewhat
seven:eight,five,six,four,nine,three,two,ten
meltdown:crisis,collapse,turmoil,slump,downturn,woes,troubles,recession,bubble
announce:announced,announces,announcing,announcement,introduce,finalized,unveiled,propose,confirmed,confirm
conclusion:conclusions,conclude,concluded,concludes,outcome,findings,end,verdict,explanation,interpretation
brands:brand,products,retailers,advertisers,labels,product,branded,manufacturers,distributors
tours:tour,touring,trips,concerts,rides,visits,trip,workshops,exhibits
today:tomorrow,yesterday,morning
carried:carry,carrying,conducted,undertaken,taken,brought,carries,thrown,pointed,wiped
highs:lows,record,peak,levels,soared,surging,surge,futures,averages
these:those,all,many,are,other,kinds,some,various,certain
dead:killed,slain,murdered,died,wounded,killing,bodies,death,deaths,buried
subsidiaries:subsidiary,affiliates,entities,assets,headquartered,company
legitimate:genuine,valid,merely,credible,viable,reasonable,worthy,fraudulent,real,justified
thank:thanked,grateful,thankful,appreciate,proud,apologize,thanks,sorry
suggesting:suggest,indicating,suggested,suggests,saying,indicated,insisting,claiming,indicate,stating
deal:deals,agreement,pact,contract,accord,agreements,buyout,negotiated,negotiations,negotiating
policemen:officers,soldiers,cops,police,gunmen,civilians,guards,army,militants,villagers
children:kids,child,parents,daughters,mothers,siblings,teenagers,adults,babies
carries:carry,carrying,rushing,yards,carried,touchdowns,catches,runs,holds,receptions
needing:need,needed,wanting,requiring,needs,having,seeking,unable,struggling,required
naked:sexy,photograph,pictures,lying,sexual,photographs,sex,pants,drunk,raped
monthly:weekly,yearly,quarterly,annual,daily,month,regular,subscription,rent,annually
developed:developing,develop,built,created,established,evolved,constructed,develops,implemented,incorporated
excellence:dedication,innovation,exceptional,commitment,achievements,quality,achievement,innovative,award,superior
morning:afternoon,evening,midday,night,day
laying:laid,lay,cutting,putting,knocking,pulling,lying,rolling,cut,stepping
presenting:presented,present,presents,introducing,presentation,demonstrating,addressing,delivering,recognizing,providing
psychological:mental,emotional,physical,depression,spiritual,anxiety,counseling,social,mentally
attending:attend,attended,participating,hosting,attendance,hosted,participate,participated,visiting,invited
impact:impacts,effect,effects,implications,affect,impacted,consequences,affecting,affects,adverse
decisions:decision,choices,recommendations,matters,mistakes,changes,judgment,appointments,adjustments,actions
black:white,blacks,brown,blue,gray,colored,red,pink
player:players,athlete,scorer,league,teammate,playing,game,standout
regime:uprising,sanctions,government,rule,revolution,democracy,communist,democratic
enabled:enable,enabling,enables,allows,helped,allow,allowing,able,lets,helps
television:broadcast,broadcasting,broadcaster,radio,televised,aired,cable
terrorist:terror,terrorists,terrorism,militant,extremists
remind:reminded,reminds,reminder,inform,remember,tell,forget,warn,emphasize,assure
brought:bring,bringing,came,brings,come,pushed,put,turned,moved,drew
commented:stated,explained,noted,said,explains,pleased,emphasized,concluded
strengthening:strengthen,strengthened,improving,enhancing,weakening,boosting,expanding,establishing,stronger,maintaining
shipping:shipments,ship,ships,shipped,cargo,port,ports,export,container,mail
southwest:southeast,northwest,northeast,west,east,south,north,eastern,southern,northern
mere:merely,only,just,actual,hardly,pure,barely,less,almost,beyond
competitiveness:competitive,productivity,innovation,efficiency,stability,profitability,competition,credibility,confidence,prosperity
implications:consequences,impact,impacts,significance,affect,effects,effect,issues,aspects,risks
making:made,make,makes,becoming,getting,putting,giving,turning
hit:hitting,hits,struck,knocked,smashed,slammed,bounced,shot,slid,drove
alter:change,changed,affect,adjust,changing,changes,reflect,revise,restrict,disrupt
feels:feel,felt,feeling,thinks,looks,seems,knows,believes,admits,understands
his:her,him,he,himself,my,their,whose
hip:knee,ankle,shoulder,elbow,wrist,hamstring,leg,toe,thumb
pumped:pumping,pump,poured,flowing,pumps,injection,fed,flow,tap,hooked
key:crucial,vital,pivotal,critical,important,essential,main,major,significant
move:moves,moving,push,moved,step,go,switch,leap,shift,turn
prize:prizes,award,awards,trophy,winners,winner,reward,purse,scholarship
images:pictures,photographs,photos,image,photograph,footage,photo,videos,picture,video
do:want,know,not,did,anymore,think,does,doing,anyway,going
existing:new,newer,current,additional,expanding,expand,expansion,adjacent,proposed,expanded
magazine:magazines,publications,publication,journal,newspaper,editor,newsletter,edition
calm:quiet,cool,relaxed,peaceful,tense,smooth,cautious,safe,upbeat,nervous
bridge:bridges,highway,dam,river,tunnel,ferry,crossing,rail,corridor
folks:people,guys,kids,you,residents,everyone,stuff,citizens,locals
him:me,he,himself,them,his,somebody,myself,anybody,someone
section:sections,portion,page,portions,site,corridor,category,pages,segment
neck:chest,leg,wrist,throat,ankle,legs,knee,nose,shoulder,elbow
dream:dreams,nightmare,vision,glory,passion,joy,love,true,quest
shocked:stunned,surprised,embarrassed,shocking,disappointed,shock,upset,devastated,scared,relieved
southern:northern,eastern,western,northeast,southwest,southeast,northwest,south,north,east
website:web,websites,blog,online,page,site,portal,internet
iconic:famous,legendary,famed,icon,classic,landmark,beloved,historic,legend,memorable
basket:baskets,layup,jumper,fouled,rebound,rebounding,rebounds
unit:units,division,facility,operations,subsidiary,operation,company,department,group
ending:ended,end,ends,beginning,extending,during,extended,last,lasted,endured
plus:minus,including,includes,combined,ranging,consisting,equivalent,totaling,five
certificates:certificate,certification,licenses,documentation,permits,cards,documents,passport,receipt,papers
professionals:specialists,consultants,professional,experts,educators,providers,entrepreneurs,physicians,individuals,profession
stopping:stopped,stop,preventing,stops,blocking,catching,halt,slowing,limiting,avoiding
accurately:accurate,correctly,precise,efficiently,properly,precisely,effectively,correct,adequately,analyze
explosion:blast,explosions,exploded,blasts,bomb,accident,crash,bombing,leak,blaze
plug:fix,fill,pull,install,hole,pump,switch,connect,holes,hybrid
trends:trend,patterns,developments,indicators,strategies,attitudes,innovations,factors,pattern,declines
connect:connecting,communicate,interact,connected,connections,integrate,utilize,connectivity,engage,linking
facilitate:enable,enhance,accelerate,encourage,coordinate,promote,provide,allow,strengthen,arrange
injuries:injury,injured,trauma,wounds,casualties,accident,illness,burns,accidents
seniors:freshmen,veterans,students,kids,adults,families,retirees,varsity,starters,freshman
downloaded:download,accessed,files,copies,website,copy,web,app,videos
boundaries:limits,borders,zones,barriers,lines,limitations,limit,within,standards,framework
formation:forming,formed,creation,structure,establishment,form,evolution,development,establishing,unity
throws:throw,throwing,threw,thrown,tossed,passes,drops,toss,puts,plays
liquor:alcohol,beer,wine,cigarettes,drink,drinks,beverage,tobacco,bars,cigarette
strikeouts:batters,innings,hitter,shutout,homers,inning,hits,hitters
intentions:intention,intent,desire,wishes,willingness,feelings,objectives,beliefs,plans,motive
expression:express,freedom,expressing,creativity,speech,interpretation,democratic,reflection,words,voice
runway:airport,plane,aircraft,planes,jet,airplane,flight
edition:version,published,article,publication,preview,magazine,column,journal,versions
commercial:residential,industrial,business,leasing,retail,development,private,prime
thrown:tossed,threw,throwing,throws,throw,dumped,dragged,smashed,knocked,blown
cup:bottle,trophy,bowl,bag,bottles,pot
slowed:slowing,slow,accelerated,slower,stalled,eased,halted,sluggish,pace,stopped
society:culture,democracy,community,democratic,profession,humanity,politics,religion,social
billing:payment,scheduling,accounting,payments,fee,providers,payroll,usage,bills
aluminum:steel,metal,copper,metals,wood,plastic,rubber,glass,wooden
economy:economic,economies,recession,sector,slowdown,downturn
report:reports,findings,survey,summary,statement,article,memo,document,study
inception:founding,since,has,decade,evolved,years,grown
client:clients,customer,customers,attorneys,lawyer,lawyers,firm,user,defendant,server
threaten:threatens,threatened,undermine,threatening,disrupt,affect,destroy,harm,hurt,warn
provisions:provision,amendments,clause,legislation,amendment,protections,laws,bill,regulations
invest:investing,invested,investments,investment,buy,spend,contribute,sell,expand,borrow
aired:broadcast,televised,television,filmed,featured,episode,appearing,viewers
rivers:river,lake,dam,water,streams,waters,forests,floods,valley
followed:follows,following,led,follow,accompanied,sparked,triggered,capped,prompted
most:highly,particularly,arguably,one,less,more,especially,very,many,incredibly
sea:ocean,waters,coastal,river,coast,lake,vessel,marine,islands
producers:producer,production,distributors,growers,exporters,suppliers,makers,manufacturers,producing,farmers
organize:organizing,coordinate,organized,arrange,organizer,gather,prepare,participate,promote,facilitate
there:no,here,going,we,exists,some,obvious,nobody,maybe
merely:simply,rather,mere,instead,solely,essentially,actually,however,meant
owns:owned,operates,sells,holds,buys,owner,manages,bought,belongs,oversees
began:started,begun,begin,resumed,begins,stopped,continued,beginning,ended,start
download:downloaded,subscription,app,online,browser,streaming,copy,click,web
posed:pose,poses,faced,confronted,facing,presents,addressed,confront,threat,addressing
approximately:roughly,total,estimated,totaling,twelve,nearly
cigarettes:cigarette,tobacco,smoking,liquor,drinks,smoke,bottles,alcohol,drugs,drink
listings:listing,websites,lists,sellers,listed,online,searches,sites,info
tragic:tragedy,sad,unfortunate,terrible,horrible,shocking,devastating,fatal,happened,death
rent:rental,lease,pay,tenants,tuition,fee,leasing,apartments,fees,leases
pressing:pressed,pushing,urgent,facing,push,demanding,addressing,tackling,pushed,looming
duration:length,extended,periods,shorter,prolonged,during,lasted,short,period,scope
jumping:jump,jumped,climbing,leap,falling,pulling,climbed,sinking,sliding,hitting
attend:attending,attended,participate,join,speak,attendance,invited,invite,participated,participating
sleep:sleeping,bed,eat,relax,breathing,bathroom,eating,shower,nights,beds
aims:seeks,aim,aiming,helps,intends,designed,wants,intended,helped,encourages
passes:pass,passing,catches,interceptions,throws,yards,touchdowns,receptions,interception,passed
very:extremely,incredibly,quite,pretty,fairly,particularly,really,so,obviously
back:out,down,off,then,again,into,away,onto
cross:crossed,crossing,header,across,wide,clearance,pass,parallel,border
above:below,beyond,beneath,elevated,lower,higher,exceeding,upper,high,average
classroom:classrooms,teachers,elementary,school,teacher,curriculum,students,kindergarten,teaching
entrance:gate,gates,entry,exit,adjacent,parking,intersection,hall,sidewalk,park
mean:means,necessarily,do,anyway,happen,meant,affect,anymore,bother,think
welfare:health,social,education,pensions,care,pension,justice
guess:suppose,think,maybe,probably,anyway,know,thought
distribute:distributing,distributed,distribution,sell,deliver,produce,publish,collect,utilize,deploy
sore:hamstring,strained,injury,ankle,knee,sidelined,pain,elbow,shoulder
aspect:aspects,element,thing,component,elements,part,factor,essence,something,perspective
mess:nightmare,chaos,problem,troubles,problems,mistake,meltdown,woes,situation,stuck
grass:lawn,turf,trees,dirt,garden,clay,soil,tree,wet,greens
correctly:properly,accurately,correct,adequately,poorly,differently,carefully,precisely,reasonably,proper
scenarios:scenario,situations,possibilities,strategies,options,concepts,types,realistic,possibility,ways
cargo:container,containers,passenger,passengers,shipping,ports,port,ships,transport,flights
thereby:thus,whilst,simultaneously,potentially,instead,effectively,ie,while,without,therefore
road:highway,roads,highways,trail,stretch,lane,lanes,street
pulling:pulled,pull,putting,turning,knocking,dropping,pushing,jumping,handing,picking
courage:brave,determination,patience,dedication,dignity,willingness,faith,sacrifice,moral,wisdom
sort:kind,sorts,suppose,type,basically,really,weird,maybe,certainly,guess
understood:understand,aware,understands,believed,explained,realized,acknowledged,explain,knew,unaware
digs:steals,kills,assists,rebounds,chipped,points,dig,tackles,blocks
ship:ships,vessel,vessels,boat,shipping,port,boats,ferry,sailing,aboard
contents:contained,containing,material,stored,content,items,contain,documents,materials,confidential
abilities:skills,skill,ability,talents,qualities,capabilities,strengths,capability,attributes,talent
accounted:totaled,total,amounted,compared,decreased,recorded,tallied,doubled,totaling
town:village,towns,city,township,villages,district,neighborhood,residents
fashion:clothing,apparel,designers,dress,designer,styles,clothes,style,beauty,accessories
strokes:stroke,birdies,par,birdie,holes,bogey,shots,points
supportive:supported,enthusiastic,supporting,support,grateful,positive,appreciated,helpful,welcoming,encouraging
cited:citing,noted,highlighted,attributed,pointed,according,quoted,reported,described,praised
coached:coach,coaching,coaches,played,competed,taught,recruited,championships,seasons
handling:handled,handle,handles,dealing,managing,involving,responding,overseeing,dealt,management
grade:grades,kindergarten,elementary,class,math,school,teacher,classes
places:spots,areas,place,locations,cities,where,venues,destinations,sites,elsewhere
individual:individually,individuals,specific,each,multiple,personal,person,institutional,respective,independently
trim:cut,cutting,slash,reduce,eliminate,cuts,slashed,add,slim,adjust
shots:shot,shooting,shoot,turnovers,arc,baskets,shooter,balls
defenseman:goalie,puck,winger,outfielder,midfielder,linebacker,baseman,catcher,forwards
priced:price,sold,pricing,sell,prices,affordable,buy,selling,sells
trucks:truck,vehicles,cars,buses,vehicle,helicopters,boats,van,containers
size:sized,sizes,height,larger,small,smaller,smallest,length,large,scale
inning:batters,innings,homer,batter,homered,strikeouts,scoreless,baseman
tracking:tracked,monitoring,monitor,measuring,reporting,identifying,detection,alerts,monitored
mobile:smartphone,handset,wireless,phones,phone,cellular
trip:trips,journey,visit,traveling,travels,travel,tour,visits,traveled,vacation
tonight:tomorrow,night,evening
watching:watch,watched,seeing,watches,viewing,listening,sitting,cheering,waiting,wondering
shoulder:elbow,knee,ankle,wrist,hip,hamstring,shoulders,leg,toe,thumb
slower:faster,slow,quicker,slowing,sluggish,slowed,weaker,fastest,pace,stronger
screens:screen,theaters,cameras,displays,movies,cinema,television,panels
revenge:motivation,sympathy,punishment,victory,defeat,triumph,defeated,beating,glory,brutal
embarrassing:embarrassed,shocking,disastrous,unfortunate,ugly,disappointing,bizarre,frustrating,painful,awful
religious:religion,secular,spiritual,church
start:begin,started,starting,starts,beginning,finish,began,resume,begins
courtesy:thanks,provided,via,gave,prizes,supplied,check
regulate:regulated,restrict,regulation,enforce,regulations,curb,monitor,governing,banning,limit
teamed:joined,helped,worked,picked,stepped,partnership,hooked,hired,launched,lined
arrest:arrests,arrested,detained,police,detention,jailed,custody,jail,conviction,suspects
homeless:shelter,shelters,elderly,displaced,unemployed,disabled,refugees,disabilities,hungry,housing
set:setting,sets,broke,breaking,pushed,put,established,picked,broken
jets:planes,jet,aircraft,plane,airplane,helicopters,flights,helicopter
publications:magazines,publication,newspapers,articles,magazine,publishing,websites,publisher,journal
producing:produced,produce,production,produces,supplying,generating,developing,producer,distributing
options:option,alternatives,possibilities,choices,opportunities,ways,scenarios,choice,alternative,advantages
act:acts,acted,acting,commit,perform,react,actions,respond,intervene,action
dining:restaurants,restaurant,meal,dinner,kitchen,meals,hospitality,chef,menu
interested:involved,keen,concerned,consider,excited,actively,participate,wary,capable,curious
profile:profiles,ranking,prominent,caliber,name,reputation,stakes,celebrity,risk,tech
positioning:positioned,position,strategy,establishing,tracking,shape,navigation,placement,identifying
overwhelming:overwhelmed,enormous,incredible,tremendous,unbelievable,huge,unprecedented,amazing,extraordinary,unanimous
spoken:spoke,talked,speak,speaking,speaks,heard,talking,talk,voiced,met
headline:headlines,page,banner,editorial,article,column,story
eliminated:elimination,eliminating,eliminate,reduced,removed,defeated,ousted,withdrawn,replaced,cut
professors:faculty,university,students,professor,universities,dean,teachers,student,academic
residence:apartment,house,bedroom,home,premises,resident,apartments,homes,houses,office
festival:concert,event,concerts,celebration,parade,organizers,celebrations,venue,film
constructed:built,construct,installed,housed,developed,construction,adjacent,located,manufactured,designed
pivotal:crucial,key,decisive,vital,important,critical,role,instrumental,significant,major
final:second,first,fourth,finals,third,next,sixth,preliminary
operator:operators,owner,provider,company,operated,operates,carrier,supplier,operating,subsidiary
states:countries,regions,counties,nations,districts,provinces,municipalities,territories,state
enhanced:enhance,enhancing,improved,expanded,strengthened,increased,improves,reduced,integrated,boosted
exchange:exchanges,swap,exchanged,currency,traded,trade,trading,foreign
revealed:reveals,reveal,revealing,confirmed,disclosed,indicated,showed,uncovered,confirms,admitted
chapter:book,organization,history,branch,novel,twist,episode,association
knock:knocking,knocked,blow,hang,beat,pull,shake,crack,scare,hit
commerce:merchants,tourism,agriculture,business,trade,communications,economic,transportation,banking
vulnerable:prone,fragile,exposed,sensitive,dangerous,suffer,protected,dependent,protect,affected
supporter:advocate,supporters,fan,critic,ally,contributor,activist,supported,participant,organizer
border:borders,crossing,southern,northern,smuggling,highway,neighboring,immigration,south,territory
following:after,follows,followed,subsequent,during,prior,wake,prompted,triggered
lawsuits:lawsuit,litigation,plaintiffs,sued,suit,suits,sue,suing,complaints,claims
intensity:intense,urgency,enthusiasm,frequency,emotion,concentration,level,skill,tone,speed
extremists:terrorists,militants,insurgents,militant,terrorist,terror,terrorism
fewer:less,more,than,smaller,none,many,higher,longer,handful
migration:integration,implementation,deployment,populations,adoption,evolution,flows,flow,immigration,census
runners:runner,hitters,batters,riders,race,inning,athletes,contenders,pitchers
pays:pay,paid,paying,receives,buys,spends,sells,gets,goes,wants
concerning:regarding,relating,regards,related,relation,regard,involving,affecting,relate,subject
trips:trip,visits,travel,tours,travels,traveling,vacation,traveled,rides,weekends
attacks:attack,bombings,bombing,blasts,terror,killings,raids,incidents,threats
stepping:stepped,step,putting,pulling,coming,turning,pushing,retiring,knocking,setting
contain:contained,containing,contains,constitute,involve,produce,add,stem,include,remove
copper:metals,gold,metal,silver,aluminum,uranium,steel,mining,mines
replied:answered,asked,joked,said,laughed,explained,yes,answer
abandoned:abandon,empty,dumped,disappeared,stalled,destroyed,rescued,halted,collapsed,overturned
cemetery:memorial,grave,funeral,park,buried,church,museum,statue,landfill,deceased
implementing:implementation,implement,implemented,adopting,introducing,establishing,developing,installing,achieving,compliance
idea:concept,notion,suggestion,ideas,theory,thought,proposal,thing,thinking,something
contestants:finalists,judges,entries,dancers,contest,participants,viewers,competitions,winners
so:too,but,because,really,anyway,quite,very,pretty,just,obviously
removed:remove,removing,removal,withdrawn,replaced,banned,cleared,eliminated,cleaned,stripped
objections:concerns,arguments,complaints,criticism,doubts,proposals,opposition,questions,proposal,request
freely:openly,freedom,frequently,legally,easily,independently,publicly,restricted,wherever,allowing
self:merely,inner,fully,own,expression,solely,independent,genuine,herself,yourself
actor:actress,actors,singer,musician,movie,film,starring,politician,character,star
destinations:destination,routes,travelers,flights,travel,hotels,locations,fares,places,cities
conducted:conducting,undertaken,conduct,initiated,participated,performed,carried,commissioned,concluded,completed
broadcast:broadcasting,televised,television,aired,broadcaster,radio,programming
teaches:taught,teach,instructor,teaching,professor,studied,learn,helps,encourages,learning
striker:midfielder,winger,goalkeeper,defender,keeper,midfield,skipper,scorer,goalie
list:lists,listing,listed,names,number,roster,ranking,ranks,rankings
restaurants:restaurant,hotels,dining,shops,bars,stores,food,outlets,chains
indicated:indicate,indicating,suggested,indicates,signaled,noted,confirmed,suggest,stated,revealed
criticism:scrutiny,praise,controversy,critics,outrage,accusations,objections,criticized,complaints,opposition
critics:criticism,advocates,critic,observers,opponents,supporters,conservatives,analysts
persuade:convince,lure,urging,convinced,encourage,willing,convincing,negotiate,revive,attract
growing:grown,grow,increasing,grows,expanding,rising,grew,mounting,booming,emerging
can:could,should,must,will,may,want,need,ought
uncomfortable:comfortable,unhappy,nervous,strange,weird,embarrassed,difficult,anxious,painful,inappropriate
clearing:cleared,removing,cleaning,clearance,removal,blocking,settling,blocked,clean,securing
pounds:pound,ounces,weight,tons,grams,tonnes,foot,euros
studio:studios,theater,producer,film,album,artists,artist,movie,filming
manufacture:manufactured,manufacturing,manufacturer,supplying,manufacturers,supplier,produce,packaging,products,distribute
indicates:suggests,indicate,indicating,confirms,indicated,shows,demonstrates,reveals,appears,suggest
commercials:ads,ad,advertising,campaigns,television,promotional,advertisers,videos,promotions
cap:caps,hat,helmet,jersey,capped,uniform,shirt,bubble,limit,regulation
put:putting,puts,placed,pull,bring,brought,pushed,come,go
car:vehicle,cars,truck,motorcycle,van,vehicles,bike,automobile
golf:tennis,tee,greens,tournaments
gold:silver,copper,metals,diamond,medal,metal,medals
creation:creating,created,create,development,establishment,formation,establishing,expansion,implementation,growth
witness:witnesses,testimony,testify,testified,prosecution,witnessed,defendant,victim,jurors
requesting:requested,asking,request,requests,seeking,asked,urging,ask,demanded,asks
nomination:nominee,nominations,candidacy,nominees,nominated,candidate,primaries,election,endorsement,presidency
gunmen:militants,attackers,gunman,policemen,insurgents,militant,convoy,rebels,hostages,kidnapped
deals:deal,contracts,agreements,transactions,negotiated,bargain,partnerships,trades,discounts
heritage:traditions,tradition,cultural,culture,roots,historic,cultures,pride,legacy
coordinate:coordinated,organize,coordination,oversee,facilitate,arrange,monitor,communicate,integrate,cooperate
proprietary:technology,technologies,software,innovative,utilizing,products
surfaced:emerged,leaked,erupted,revealed,disappeared,uncovered,sparked,appeared,discovered,existed
lending:loans,lenders,borrowing,mortgage,mortgages,borrowers,lender,loan,banks
goalie:goalkeeper,defenseman,keeper,midfielder,puck,shortstop,pitcher,catcher,defender,baseman
lottery:gambling,ticket,casino,poker,gaming,casinos,betting,tickets,slots,prize
ability:inability,abilities,willingness,able,capability,can,enabled,capabilities,helps,effectiveness
pickup:truck,vehicle,van,car,trucks,parked,trailer,motorcycle
strictly:solely,strict,exclusively,entirely,largely,mainly,merely,mostly,generally,basically
sophisticated:specialized,modern,advanced,expensive,robust,intelligent,complex,powerful,complicated
exploration:drilling,mining,drill,drilled,discovery,uranium,mine,wells
motor:automobile,car,engine,cars,motorcycle,diesel,engines,bikes,vehicles,wheel
shoes:shoe,boots,clothes,pants,clothing,shirts,jacket,apparel,shirt,bags
spoke:talked,speaking,spoken,speak,speaks,discussed,told,interviewed,attended
rebel:rebels,militant,militia,insurgents,militants,army,insurgency
casinos:casino,gambling,gaming,poker,slots,restaurants,hotels,tribe
expand:expanding,expanded,strengthen,extend,expansion,enhance,grow,consolidate,develop,build
expressing:expressed,express,voiced,stating,expression,echoed,reiterated,reflecting,spoken,declaring
clever:brilliant,smart,funny,silly,intelligent,subtle,simple,stupid,superb,creative
categories:category,segments,types,sectors,awards,criteria,divisions,sections,segment,entries
settlement:settlements,agreement,lawsuit,settle,plaintiffs,settled,litigation,accord,settling,lawsuits
checks:check,checking,tests,checked,inspections,payments,assessments,audit,bills
burden:strain,responsibility,pressure,responsibilities,stress,shoulders,pressures,load,obligations,reliance
encourage:encourages,promote,encouraging,encouraged,inspire,spur,urge,stimulate,facilitate,allow
territories:territory,regions,countries,states,provinces,borders,locations,islands
early:late,mid,sometime,before,earliest,until,after,initial
billion:million,trillion,billions,percent,estimated
surrender:surrendered,seize,accept,abandon,withdraw,flee,return,leave,resign,withdrawal
prolonged:lengthy,severe,intense,brief,during,continuous,long,duration,extended,persistent
stole:stealing,steal,stolen,robbed,grabbed,seized,theft,belonged,chased,smashed
stripped:removed,strip,wiped,ripped,handed,sacked,restored,replaced,burned,knocked
economic:economy,economies,financial,prosperity,economically,growth,recession,employment
import:imports,imported,export,exports,exporters,output,trade,shipments,production,customs
whole:entire,basically,really,rest,everybody,just,this,definitely,kind,obviously
committed:commit,committing,commitment,dedicated,capable,engaged,responsible,focused,involved,invested
rebuild:rebuilding,restore,build,reconstruction,repair,stabilize,restoring,recover,revive,devastated
never:not,nobody,rarely,anything,once,always,none,neither
harsh:brutal,rough,tough,bitter,severe,nasty,bad,extreme,terrible,tougher
guitar:piano,bass,musician,band,music,songs,jazz,musicians,blues,bands
objectives:objective,strategies,priorities,goals,targets,strategy,achieve,principles,requirements,achieving
display:displays,displayed,exhibit,exhibits,showcase,exhibition,showing,artwork,mounted,feature
instruction:curriculum,teaching,lessons,learning,instructor,instructions,training,teach,courses,classes
attempt:attempts,attempted,attempting,effort,tried,trying,try,tries,efforts,failed
dressed:dress,wearing,wore,wear,decorated,worn,suits,smiling,uniforms,jacket
label:labels,labeled,brand,album,branded,packaging,albums,catalog
shape:fit,shaped,form,looks,size,look,positioning,picture,healthy,fits
reverse:reversed,halt,stem,alter,change,stop,accelerate,curb,prevent,counter
pulled:pulling,pull,grabbed,pushed,turned,knocked,rolled,ran,jumped,came
beside:alongside,beneath,front,atop,underneath,nearby,near,sitting,onto,adjacent
grow:grown,grows,growing,expand,grew,growth,mature,develop,rise,expanding
hardly:barely,certainly,neither,rarely,not,nobody,none,never,surely,practically
jacket:shirt,pants,hat,wearing,dress,clothes,shirts,boots,bag
as:well,such,so,regarded,but,although,though,possible,too
steadily:rapidly,gradually,slowly,dramatically,considerably,significantly,sharply,steady,substantially,continuously
apologized:apologize,apology,thanked,sorry,admitted,criticized,acknowledged,regret,blamed,embarrassed
lifted:lift,lifting,lifts,eased,lowered,boosted,pushed,imposed,placed,dropped
solid:strong,stellar,decent,good,robust,terrific,excellent,consistent,impressive,shaky
admits:admitted,insists,admitting,acknowledged,says,admit,believes,thinks,confessed,feels
called:dubbed,calling,referred,described,calls,labeled,hailed,call,launched,condemned
favor:favored,opposed,oppose,favors,prefer,supported,vote,preference,strongly,reject
borrowers:lenders,mortgages,mortgage,loans,homeowners,lender,lending,loan,foreclosures,foreclosure
commit:committing,committed,engage,contribute,invest,admit,consider,act,endorse,spend
ski:mountain,resort,snow,cycling,bike,mountains,golf,ice,hockey
sensors:devices,systems,detect,monitors,device,monitoring,components,detection,technologies
capture:capturing,captured,seize,collect,locate,grab,identify,secure,capitalize,hunt
guards:guard,policemen,officers,security,personnel,gates,soldiers,defenders,patrol
fueled:sparked,triggered,driven,boosted,led,prompted,coupled,amid,attributed,powered
timely:quick,accurate,meaningful,prompt,reliable,rapid,consistent,adequate,relevant,critical
cotton:wheat,corn,rice,agricultural,grain,sugar,crop,crops,growers,fabric
am:pm,noon,midnight
just:really,maybe,so,anyway,it,actually,going,basically,only,probably
surveyed:respondents,survey,surveys,poll,interviewed,study,percent,conducted,thirds
dedicated:devoted,focused,committed,dedication,focuses,instrumental,specialized,comprised,honored,passionate
accessible:available,affordable,access,accessed,convenient,transparent,easier,connect,visible,safer
relying:rely,relied,relies,reliance,dependent,depend,focusing,using,counting,focused
unity:united,reconciliation,peace,unified,stability,democracy,democratic,sovereignty,faith,dialogue
men:women,males,boys,man,teenagers,girls,ladies,youths
clashes:clash,confrontation,unrest,protests,battles,blasts,conflict,tensions,explosions,violence
